Supply_Are,Substation,Substati_1,Transforme,NoOfTrfrs,TrfrSizeMV,InstalledT,LightLoad,GxAtLightL,YearOfTrfr,UpgradeSta,NoOfTrfrs2,TrfrSize_1,Installe_1,REIPPPGenA,MVLimitLL2,HVLimitLL2,HVAreaLimi,CLNLimitLL,MVLimitMDL,HVLimitMDL,HVAreaLi_1,CLNLimitMD,Status
East Rand,Brenner,Brenner 275/88,275/88,3,315,945,126.0,0.0,-,-,3,315,945,-,1052.1,3050.0,3050.0,4500,1052.1,2950.0,2025.0,2050,Existing
East Rand,Esselen,Esselen 132/88,132/88,1,160,160,69.0,0.0,-,-,1,160,160,-,225.8,225.8,225.8,4500,225.8,225.8,225.8,2050,Existing
East Rand,Esselen,Esselen 275/132,275/132,1,250,250,137.0,0.0,-,-,1,250,250,-,382.0,3100.0,3100.0,4500,382,2050.0,2050.0,2050,Existing
East Rand,Esselen,Esselen 275/132,275/132,2,180,360,137.0,0.0,-,-,2,180,360,-,489.8,3100.0,3100.0,4500,382,2050.0,2050.0,2050,Existing
East Rand,Esselen,Esselen 275/88,275/88,2,315,630,69.0,0.0,-,-,2,315,630,-,686.4,3100.0,3100.0,4500,686.4,2950.0,2050.0,2050,Existing
East Rand,Nevis,Nevis 275/132,275/132,2,500,1000,132.0,0.0,-,-,2,500,1000,-,1112.0,3100.0,3100.0,4500,1112,2950.0,2050.0,2050,Existing
East Rand,Pieterboth,Pieterboth 275/132,275/132,2,315,630,0.0,0.0,-,-,2,315,630,-,617.4,1650.0,1650.0,4500,617.4,1800.0,1750.0,2050,Existing
Empangeni,Athene,Athene 400/132,400/132,4,500,2000,689.0,0.0,-,-,4,500,2000,-,2649.0,3800.0,3800.0,3700,2649,3950.0,3950.0,4000,Existing
Empangeni,Impala,Impala 275/132,275/132,4,250,1000,131.0,0.0,-,-,4,250,1000,16.5,1111.0,1250.0,1250.0,3700,1111,1450.0,1450.0,4000,Existing
Empangeni,Invubu,Invubu 400/275,400/275,3,800,2400,0.0,0.0,-,-,3,800,2400,-,2352.0,3000.0,3000.0,3700,2352,3300.0,3300.0,4000,Existing
Highveld South,Alpha,Alpha 765/400,765/400,3,2000,6000,0.0,0.0,-,-,3,2000,6000,-,5880.0,6425.0,6550.0,3150,5880,6425.0,6550.0,3150,Existing
Highveld South,Sol,Sol 400/132,400/132,4,500,2000,61.0,0.0,-,-,4,500,2000,-,2021.0,2200.0,2200.0,3150,2021,2200.0,2200.0,5350,Existing
Highveld South,Mulalo,Mulalo 400/132,400/132,0,0,0,170.0,67.6,2022,Approved,4,500,2000,-,2062.4,2200.0,2200.0,3150,2062.4,2200.0,2200.0,5350,Planned
Highveld South,Zeus,Zeus 765/400,765/400,2,2000,4000,0.0,0.0,-,-,3,2000,6000,-,5880.0,5650.0,5650.0,3150,5880,5100.0,5100.0,5350,Existing
Johannesburg North,Apollo,Apollo 400/275,400/275,1,800,800,-1200.0,0.0,-,-,1,800,800,-,-416.0,4400.0,4400.0,6500,-416,4400.0,4400.0,6500,Existing
Johannesburg North,Apollo,Apollo 400/275,400/275,2,1000,2000,-1200.0,0.0,-,-,2,1000,2000,-,760.0,4400.0,4400.0,6500,-416,4400.0,4400.0,6500,Existing
