Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,source_count,source_flags,raw_project_ids
Rooiwal,Hard Coal,Steam Turbine,PP,South Africa,300.0,,1962.0,,2024.0,-25.55501,28.237573000000005,,,,,"{nan, nan, nan, nan, nan}","{'GCPT': {'G100000108622', 'G100000108626', 'G100000108625', 'G100000108623', 'G100000108624'}, 'GPD': {'WRI1075862'}, 'GEO': {'GEO-5164'}}",1,ppm,"{'GCPT': {'G100000108622', 'G100000108626', 'G100000108625', 'G100000108623', 'G100000108624'}, 'GPD': {'WRI1075862'}, 'GEO': {'GEO-5164'}}"
Tutuka,Hard Coal,Steam Turbine,PP,South Africa,3654.0,,1985.0,,2030.0,-26.777156,29.352376000000003,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000110399', 'G100000110400', 'G100000110398', 'G100000110401', 'G100000110396', 'G100000110397'}, 'GPD': {'WRI1000135'}, 'GEO': {'GEO-5813'}}",1,ppm,"{'GCPT': {'G100000110399', 'G100000110400', 'G100000110398', 'G100000110401', 'G100000110396', 'G100000110397'}, 'GPD': {'WRI1000135'}, 'GEO': {'GEO-5813'}}"
Kelvin Phase,Hard Coal,Steam Turbine,PP,South Africa,600.0,,1957.0,,2026.0,-26.115776,28.194019,,,,,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105641', 'G100000105651', 'G100000105640', 'G100000105645', 'G100000105647', 'G100000105644', 'G100000105648', 'G100000105642', 'G100000105649', 'G100000105650', 'G100000105652', 'G100000105646', 'G100000105643'}, 'GPD': {'WRI1075860'}, 'GEO': {'GEO-3817'}}",1,ppm,"{'GCPT': {'G100000105641', 'G100000105651', 'G100000105640', 'G100000105645', 'G100000105647', 'G100000105644', 'G100000105648', 'G100000105642', 'G100000105649', 'G100000105650', 'G100000105652', 'G100000105646', 'G100000105643'}, 'GPD': {'WRI1075860'}, 'GEO': {'GEO-3817'}}"
Kriel,Hard Coal,Steam Turbine,PP,South Africa,3000.0,,1976.0,,2030.0,-26.253936999999997,29.178465,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000105968', 'G100000105965', 'G100000105967', 'G100000105964', 'G100000105969', 'G100000105966'}, 'GPD': {'WRI1000127'}, 'GEO': {'GEO-3911'}}",1,ppm,"{'GCPT': {'G100000105968', 'G100000105965', 'G100000105967', 'G100000105964', 'G100000105969', 'G100000105966'}, 'GPD': {'WRI1000127'}, 'GEO': {'GEO-3911'}}"
Witkop Solar Park,Solar,PV,PP,South Africa,30.0,,2014.0,,,-24.0419,29.3632,,,,,{nan},"{'GSPT': {'G100000800428'}, 'GPD': {'WRI1026062'}}",1,ppm,"{'GSPT': {'G100000800428'}, 'GPD': {'WRI1026062'}}"
Soutpan Solar Farm,Solar,PV,PP,South Africa,31.0,,2014.0,,,-22.9935,29.2501,,,,,{nan},"{'GSPT': {'G100000800382'}, 'GPD': {'WRI1026057'}}",1,ppm,"{'GSPT': {'G100000800382'}, 'GPD': {'WRI1026057'}}"
Tom Burke Solar Park,Solar,PV,PP,South Africa,66.0,,2016.0,,,-23.0716,27.9853,,,,,{nan},"{'GSPT': {'G100000800401'}, 'GPD': {'WRI1061290'}}",1,ppm,"{'GSPT': {'G100000800401'}, 'GPD': {'WRI1061290'}}"
Touwsrivier Cpv Solar,Solar,PV,PP,South Africa,44.0,,2014.0,,,-33.4103,19.9254,,,,,{nan},"{'GSPT': {'G100000800408'}, 'GPD': {'WRI1026059'}}",1,ppm,"{'GSPT': {'G100000800408'}, 'GPD': {'WRI1026059'}}"
Upington Utn Solar,Solar,PV,PP,South Africa,18.9,,2014.0,,,-28.409149999999997,21.268,,,,,"{nan, nan}","{'GSPT': {'G100001023931', 'G100000831293'}, 'GPD': {'WRI1026060'}}",1,ppm,"{'GSPT': {'G100001023931', 'G100000831293'}, 'GPD': {'WRI1026060'}}"
Vredendal Solar Park,Solar,PV,PP,South Africa,8.8,,2014.0,,,-31.6259,18.5084,,,,,{nan},"{'GSPT': {'G100000831294'}, 'GPD': {'WRI1026061'}}",1,ppm,"{'GSPT': {'G100000831294'}, 'GPD': {'WRI1026061'}}"
