scenario_set,sheet,source_path,Scenario,bus0,bus1,voltage (kV),length (km),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,scenario,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,LINE_START,LINE_END,DESIGN_VOL,LINE_STATU,BUILD_YEAR,CHECK,Length
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLIEN,BOUNDARY,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRONOS,HYDRA,400.0,PLANNED,2029.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DELPHI,EROS,765.0,PLANNED,,OK,402860.0
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZANOKHANYO,DELPHI,765.0,PLANNED,,OK,292972.0
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSEIDON,PEMBROKE,400.0,PLANNED,2028.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOUNDARY,BETA,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOOKODI,HERMES,400.0,PLANNED,2028.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERA,WESTGATE,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETNA,QUATTRO,275.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUATTRO,ETNA,275.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETNA,GLOCKNER,400.0,PLANNED,2027.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOCKNER,ETNA,400.0,PLANNED,2027.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUPITER,BRENNER,275.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRENNER,NEVIS,275.0,PLANNED,2033.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSEUS,ZEUS,765.0,PLANNED,2031.0,OK,428857.1
